,ticker,twin,name,exch,cat,country
16938,NJBB.SG,,NIBE Industrier AB (publ),STU,,Germany
28521,NDRBF,,NIBE Industrier AB (publ),PNK,,USA
89956,NJBB.F,,NIBE Industrier AB (publ),FRA,,France
1695,ITAB-B.ST,,Itab Shop Concept AB,STO,Business Services,Sweden
29196,0QUB.L,,Itab Shop Concept AB,LSE,,United Kingdom
1712,HUSQ-B.ST,x,Husqvarna AB (publ),STO,Machine Tools & Accessories,Sweden
28132,HSQVY,,Husqvarna AB (publ),PNK,,USA
28819,0GTR.L,,Husqvarna AB (publ),LSE,,United Kingdom
28833,HUSQF,,Husqvarna AB (publ),PNK,,USA
28978,HUSQ-A.ST,x,Husqvarna AB (publ),STO,Machine Tools & Accessories,Sweden
29145,HUQVF,,Husqvarna AB (publ),PNK,,USA
76952,HRZ.F,,Husqvarna AB (publ),FRA,,France
77131,HUSQB.ST,,Husqvarna AB (publ),STO,,Sweden
1710,HXGBY,,Hexagon AB,PNK,,USA
1719,HEXA-B.ST,,Hexagon AB,STO,Scientific & Technical Instruments,Sweden
28129,HXGBF,,Hexagon AB,PNK,,USA
28494,0GRX.L,,Hexagon AB,LSE,,United Kingdom
75021,HXGB.F,,Hexagon AB,FRA,,France
1804,BEIA-B.ST,,Beijer Alma AB (publ),STO,Diversified Machinery,Sweden
28815,0GX4.L,,Beijer Alma AB (publ),LSE,,United Kingdom
1450,ASAZY,,ASSA ABLOY AB (publ),PNK,,USA
1850,ASSA-B.ST,,ASSA ABLOY AB (publ),STO,General Building Materials,Sweden
28201,ASAZF,,ASSA ABLOY AB (publ),PNK,,USA
28287,0R87.L,,ASSA ABLOY AB (publ),LSE,,United Kingdom
28679,0R87N.MX,,ASSA ABLOY AB (publ),MEX,Security & Protection Services,Mexico
29131,ALZC.F,,ASSA ABLOY AB (publ),FRA,,France
1952,AF-B.ST,,ÅF AB (publ),STO,Business Services,Sweden
28628,0QUU.L,,ÅF AB (publ),LSE,,United Kingdom
1506,ADW-A.TO,x,Andrew Peller Limited,TOR,Independent Oil & Gas,Canada
1958,ADW-B.TO,x,Andrew Peller Limited,TOR,Beverages - Wineries & Distillers,Canada
31004,ADWPF,,Andrew Peller Limited,PNK,,USA
2003,ZZ-B.ST,,Zinzino AB,STO,Business Equipment,Sweden
26493,ZNZNF,,Zinzino AB,PNK,,USA
946,BBD-A.TO,x,Bombardier Inc.,TOR,Aerospace/Defense - Major Diversified,Canada
2104,BBD-B.TO,x,Bombardier Inc.,TOR,Aerospace/Defense - Major Diversified,Canada
3064,BDRBF,,Bombardier Inc.,PNK,,USA
3465,BDRXF,,Bombardier Inc.,PNK,,USA
22092,BBDBN.MX,,Bombardier Inc.,MEX,Aerospace/Defense - Major Diversified,Mexico
42896,BBDB.DE,,Bombardier Inc.,FRA,,France
42902,BBD-PB.TO,,Bombardier Inc.,TOR,,Canada
42940,BBDB.F,,Bombardier Inc.,FRA,,France
43009,BBDB.SW,,Bombardier Inc.,EBS,,Switzerland
43053,BBD-PC.TO,,Bombardier Inc.,TOR,,Canada
43408,BDRAF,,Bombardier Inc.,PNK,,USA
43419,BDRPF,,Bombardier Inc.,PNK,,USA
49973,BOMBF,,Bombardier Inc.,PNK,,USA
3082,TS-B.TO,,Torstar Corporation,TOR,Conglomerates,Canada
100106,TORSF,,Torstar Corporation,PNK,,USA
3160,FBS-B.TO,,5Banc Split Inc.,TOR,,Canada
3534,TPX-B.TO,x,Molson Coors Canada Inc.,TOR,Beverages - Brewers,Canada
3535,TPX-A.TO,x,Molson Coors Canada Inc.,TOR,Beverages - Brewers,Canada
5566,DII-A.TO,x,Dorel Industries Inc.,TOR,Home Furnishings & Fixtures,Canada
5792,DII-B.TO,x,Dorel Industries Inc.,TOR,Home Furnishings & Fixtures,Canada
60935,DIIBF,,Dorel Industries Inc.,PNK,,USA
61926,DO4B.F,,Dorel Industries Inc.,FRA,,France
88,NVO,,Novo Nordisk A/S,NYQ,Drug Manufacturers - Other,USA
5898,NOVO-B.CO,,Novo Nordisk A/S,CPH,,Denmark
17182,NOVA.DE,x,Novo Nordisk A/S,GER,Biotechnology,Germany
61403,NOVC.DE,x,Novo Nordisk A/S,GER,,Germany
61465,0QIU.L,,Novo Nordisk A/S,LSE,,United Kingdom
61499,NOVC.F,,Novo Nordisk A/S,FRA,,France
61630,NOVOB.SW,,Novo Nordisk A/S,EBS,,Switzerland
90488,NONOF,,Novo Nordisk A/S,PNK,,USA
90544,NOVA.F,,Novo Nordisk A/S,FRA,Biotechnology,France
90574,NVON.MX,,Novo Nordisk A/S,MEX,Biotechnology,Mexico
1478,AMKBY,,A.P. Møller - Mærsk A/S,PNK,,USA
5926,MAERSK-B.CO,x,A.P. Møller - Mærsk A/S,CPH,,Denmark
36086,AMKBF,,A.P. Møller - Mærsk A/S,PNK,,USA
36087,AMKAF,,A.P. Møller - Mærsk A/S,PNK,,USA
37926,DP4B.F,,A.P. Møller - Mærsk A/S,FRA,,France
37996,DP4A.F,,A.P. Møller - Mærsk A/S,FRA,,France
61495,MAERSK-A.CO,x,A.P. Møller - Mærsk A/S,CPH,,Denmark
61550,0O77.L,,A.P. Møller - Mærsk A/S,LSE,,United Kingdom
61585,0O76.L,,A.P. Møller - Mærsk A/S,LSE,,United Kingdom
5552,DHXM,,DHX Media Ltd.,NMS,,USA
5638,DMXHF,,DHX Media Ltd.,PNK,,USA
6103,DHX-B.TO,x,DHX Media Ltd.,TOR,Entertainment - Diversified,Canada
50662,DHX-A.TO,x,DHX Media Ltd.,TOR,Entertainment - Diversified,Canada
60880,DMQHF,,DHX Media Ltd.,PNK,,USA
6397,SVED-B.ST,,Svedbergs i Dalstorp AB,STO,General Building Materials,Sweden
6483,RIAS-B.CO,,RIAS A/S,CPH,,Denmark
1634,NVZMY,,Novozymes A/S,PNK,,USA
1635,NVZMF,,Novozymes A/S,PNK,,USA
6590,NZYM-B.CO,,Novozymes A/S,CPH,,Denmark
61437,NZYMB.SW,,Novozymes A/S,EBS,,Switzerland
61443,NZM2.SG,,Novozymes A/S,STU,,Germany
61454,0Q4U.L,,Novozymes A/S,LSE,,United Kingdom
61530,NZM2.F,,Novozymes A/S,FRA,,France
6676,MDRNSUT-B.BO,,MODERN DENIM LTD.,BSE,,India
6710,LL-B.CO,x,Land & Leisure A/S,CPH,,Denmark
61562,LL-A.CO,x,Land & Leisure A/S,CPH,,Denmark
7401,CJR-B.TO,,Corus Entertainment Inc.,TOR,Independent Oil & Gas,Canada
7476,CJREF,,Corus Entertainment Inc.,PNK,,USA
65039,9CO.F,,Corus Entertainment Inc.,FRA,,France
7864,ORC-B.V,,Orca Exploration Group Inc.,VAN,Independent Oil & Gas,Canada
18269,ORXGF,,Orca Exploration Group Inc.,PNK,,USA
67054,ORC-A.V,,Orca Exploration Group Inc.,VAN,,Canada
1748,ERCA.DE,,Telefonaktiebolaget LM Ericsson (publ),GER,Communication Equipment,Germany
7045,ERIC,,Telefonaktiebolaget LM Ericsson (publ),NMS,,USA
7546,ERIXF,,Telefonaktiebolaget LM Ericsson (publ),PNK,,USA
8040,ERICB.ST,,Telefonaktiebolaget LM Ericsson (publ),STO,,Sweden
8041,ERIC-B.ST,x,Telefonaktiebolaget LM Ericsson (publ),STO,Communication Equipment,Sweden
8049,ERCB.DE,,Telefonaktiebolaget LM Ericsson (publ),GER,Communication Equipment,Germany
30581,ERCA.F,,Telefonaktiebolaget LM Ericsson (publ),FRA,Communication Equipment,France
65364,ERCG.DE,,Telefonaktiebolaget LM Ericsson (publ),GER,Communication Equipment,Germany
65369,ERIBR.HE,,Telefonaktiebolaget LM Ericsson (publ),HEL,,Finland
65391,ERCB.F,,Telefonaktiebolaget LM Ericsson (publ),FRA,Communication Equipment,France
65394,0O87.L,,Telefonaktiebolaget LM Ericsson (publ),LSE,,United Kingdom
65395,ERIC-A.ST,x,Telefonaktiebolaget LM Ericsson (publ),STO,Communication Equipment,Sweden
65401,ERCG.F,,Telefonaktiebolaget LM Ericsson (publ),FRA,Communication Equipment,France
65425,ERICB.SW,,Telefonaktiebolaget LM Ericsson (publ),EBS,,Switzerland
65431,ERICN.MX,,Telefonaktiebolaget LM Ericsson (publ),MEX,Communication Equipment,Mexico
8058,EPIS-B.ST,,Episurf Medical AB,STO,Medical Appliances & Equipment,Sweden
28733,0QUT.L,,Episurf Medical AB,LSE,,United Kingdom
8103,ELAN-B.ST,,Elanders AB (publ),STO,Publishing - Newspapers,Sweden
1742,FGRPF,,Fingerprint Cards AB (publ),PNK,,USA
9180,FING-B.ST,,Fingerprint Cards AB (publ),STO,Electronic Equipment,Sweden
68128,FPQ.F,,Fingerprint Cards AB (publ),,,
9280,BALD-B.ST,,Fastighets AB Balder (publ),STO,Property Management,Sweden
28754,0Q78.L,,Fastighets AB Balder (publ),LSE,,United Kingdom
29136,0H2Z.L,,Fastighets AB Balder (publ),LSE,,United Kingdom
29214,BALD-PREF.ST,,Fastighets AB Balder (publ),STO,,Sweden
9965,TVA-B.TO,,TVA GROUP Inc.,TOR,Broadcasting - TV,Canada
10786,HM-B.ST,,H & M Hennes & Mauritz AB (publ),STO,,Sweden
28134,HMSB.DE,,H & M Hennes & Mauritz AB (publ),GER,Textile - Apparel Clothing,Germany
28136,HMRZF,,H & M Hennes & Mauritz AB (publ),PNK,,USA
28138,HMB.ST,,H & M Hennes & Mauritz AB (publ),STO,,Sweden
28281,0HBP.L,,H & M Hennes & Mauritz AB (publ),LSE,,United Kingdom
29182,HNNMY,,H & M Hennes & Mauritz AB (publ),PNK,,USA
75367,HMB.SW,,H & M Hennes & Mauritz AB (publ),EBS,,Switzerland
75386,HMSB.F,,H & M Hennes & Mauritz AB (publ),FRA,Textile - Apparel Clothing,France
10972,RECY-B.ST,,Recyctec Holding AB (publ),STO,,Sweden
14520,KIRANSY-B.BO,,KIRAN SYNTEX LTD.,BSE,,India
15294,KLIC-B.ST,,Klick Data AB (publ.),STO,,Sweden
15525,TCK,,Teck Resources Limited,NYQ,,USA
15711,TCK-B.TO,x,Teck Resources Limited,TOR,,Canada
15745,TCK-A.TO,x,Teck Resources Limited,TOR,,Canada
20020,TCKRF,,Teck Resources Limited,PNK,,USA
99435,TCKN.MX,,Teck Resources Limited,MEX,,Mexico
100203,TPT.F,,Teck Resources Limited,FRA,,France
106128,TEKB.F,,Teck Resources Limited,FRA,,France
16173,WCM-B.TO,x,Wilmington Capital Management Inc.,TOR,Asset Management,Canada
16210,WCM-A.TO,x,Wilmington Capital Management Inc.,TOR,Asset Management,Canada
16604,CCL-B.TO,x,CCL Industries Inc.,TOR,Packaging & Containers,Canada
53529,CCL-A.TO,x,CCL Industries Inc.,TOR,Packaging & Containers,Canada
53545,CCDBF,,CCL Industries Inc.,PNK,,USA
53661,1C9.F,,CCL Industries Inc.,FRA,,France
16692,NOLA-B.ST,,Nolato AB (publ),STO,Communication Equipment,Sweden
28488,0OA9.L,,Nolato AB (publ),LSE,,United Kingdom
89313,NBFB.SG,,Nolato AB (publ),STU,,Germany
16602,NCC-A.TO,x,Newfoundland Capital Corporation Limited,TOR,Broadcasting - Radio,Canada
16724,NCC-B.TO,x,Newfoundland Capital Corporation Limited,TOR,,Canada
16725,NCC-B.ST,x,NCC AB,STO,General Contractors,Sweden
28105,NCC-A.ST,x,NCC AB,STO,General Contractors,Sweden
28970,0OFO.L,,NCC AB,LSE,,United Kingdom
29042,0OFP.L,,NCC AB,LSE,,United Kingdom
89327,NCGB.F,,NCC AB,FRA,,France
16658,PCDAF,,Postmedia Network Canada Corp.,PNK,,USA
16952,PNC-B.TO,x,Postmedia Network Canada Corp.,TOR,Industrial Metals & Minerals,Canada
16953,PNC-A.TO,x,Postmedia Network Canada Corp.,TOR,,Canada
17119,NSP-B.ST,,Nordic Service Partners Holding AB,STO,,Sweden
90410,4NPB.F,,Nordic Service Partners Holding AB,FRA,,France
17208,NN-B.ST,,Nordnet AB (publ),STO,,Sweden
28870,0GTW.L,,Nordnet AB (publ),LSE,,United Kingdom
90380,N6N.F,,Nordnet AB (publ),FRA,,France
17315,NET-B.ST,,NetEnt AB (publ),STO,Multimedia & Graphics Software,Sweden
29062,0R77.L,,NetEnt AB (publ),LSE,,United Kingdom
17813,OEM-B.ST,,OEM International AB (publ),STO,Diversified Machinery,Sweden
17949,FOI-B.ST,,Fenix Outdoor International AG,STO,,Sweden
18497,OBOYA-BTA-B.ST,,OBOYA-BTA-B.ST,,,
16178,QBR-A.TO,x,Quebecor Inc.,TOR,Wireless Communications,Canada
18796,QBR-B.TO,x,Quebecor Inc.,TOR,Wireless Communications,Canada
18887,QBCRF,,Quebecor Inc.,PNK,,USA
19012,QBCAF,,Quebecor Inc.,PNK,,USA
19413,QB3.F,,Quebecor Inc.,FRA,,France
7836,Q-A.V,x,Questfire Energy Corp.,VAN,,Canada
18974,Q-B.V,x,Questfire Energy Corp.,VAN,,Canada
4446,RCI,,Rogers Communications Inc.,NYQ,Wireless Communications,USA
19575,RCI-A.TO,x,Rogers Communications Inc.,TOR,Wireless Communications,Canada
19578,RCI-B.TO,x,Rogers Communications Inc.,TOR,Wireless Communications,Canada
94849,RCIAF,,Rogers Communications Inc.,PNK,,USA
94887,RCIB.F,,Rogers Communications Inc.,FRA,,France
4538,SJR,,Shaw Communications Inc.,NYQ,CATV Systems,USA
20225,SJR-B.TO,,Shaw Communications Inc.,TOR,CATV Systems,Canada
90771,SWC.F,,Shaw Communications Inc.,FRA,,France
96926,SJR-A.V,,Shaw Communications Inc.,VAN,CATV Systems,Canada
20545,TREL-B.ST,,Trelleborg AB,STO,Diversified Machinery,Sweden
28487,0NL3.L,,Trelleborg AB,LSE,,United Kingdom
29221,TBABF,,Trelleborg AB,PNK,,USA
100017,TLLB.F,,Trelleborg AB,FRA,,France
100283,TRELB.ST,,Trelleborg AB,STO,,Sweden
20569,TEL2B.ST,,Tele2 AB (publ),STO,,Sweden
20570,TEL2-B.ST,x,Tele2 AB (publ),STO,Wireless Communications,Sweden
28069,TLTZY,,Tele2 AB (publ),PNK,,USA
28070,TLTZF,,Tele2 AB (publ),PNK,,USA
28073,TEL2-A.ST,x,Tele2 AB (publ),STO,Wireless Communications,Sweden
28789,0QE6.L,,Tele2 AB (publ),LSE,,United Kingdom
89346,NCYD.F,,Tele2 AB (publ),FRA,,France
89376,NCYC.F,,Tele2 AB (publ),FRA,,France
20625,UFLX-B.ST,,Uniflex AB (publ),STO,Staffing & Outsourcing Services,Sweden
21922,VEND-B.ST,,hubbr AB (publ),,,
77068,HUBR-B.ST,,hubbr AB (publ),STO,,Sweden
22252,ABC-B.CR,x,"BANCO DEL CARIBE, C.A. BANCO UN",CCS,,Venezuela
29146,ABC-A.CR,x,"BANCO DEL CARIBE, C.A. BANCO UN",CCS,,Venezuela
22364,EOLU-B.ST,,Eolus Vind AB,STO,Diversified Utilities,Sweden
65122,7EVB.F,,Eolus Vind AB,FRA,,France
22553,NEVI-B.ST,,New Equity Venture International AB,STO,,Sweden
22595,RABT-B.ST,,Viking Supply Ships AB (publ),,,
98693,VSSAB-B.ST,,Viking Supply Ships AB (publ),STO,,Sweden
22598,SV-B.CR,x,"INVERSIONES SELVA, C.A. CLASE '",CCS,,Venezuela
98807,SV-A.CR,x,"INVERSIONES SELVA, C.A. CLASE '",CCS,,Venezuela
22679,VICP-B.ST,x,Victoria Park AB (publ),STO,,Sweden
29020,VICP-PREF.ST,,Victoria Park AB (publ),STO,,Sweden
92309,VICP-A.ST,x,Victoria Park AB (publ),STO,,Sweden
22735,VNS-B.CR,,VENASETA 'B,CCS,,Venezuela
22875,STVA-B.ST,,Star Vault AB (publ),STO,,Sweden
23114,WALL-B.ST,,Wallenstam AB (publ),STO,Real Estate Development,Sweden
23585,WYA-B.ST,,WYA-B.ST,,,
822,CADTW,,,,,
898,TRTLW,,,,,
904,QPACW,,,,,
922,HDRAW,,,,,
924,HCACW,,,,,
1018,ARWAW,,,,,
1371,KLREW,,,,,
1702,VC8.DE,,,,,
1726,TPET.L,,,,,
1776,CNLMW,,,,,
1779,CLACW,,,,,
1870,RY4A.HM,,,,,
2002,PWRDN.MX,,,,,
2015,YARFUT.OL,,,,,
3728,TO,,,,,
5564,DRWIW,,,,,
5814,SFX.DE,,,,,
5824,PUS.DE,,,,,
6085,DL.BR,,,,,
6272,VAX.BE,,,,,
6303,VOCN.AX,,,,,
6354,TBR.DE,,,,,
6356,TAEE-DEB11L0.SA,,,,,
6485,RHMG.EX,,,,,
6538,PORK.EX,,,,,
6618,NDAF.EX,,,,,
6696,LXSF.EX,,,,,
6747,KLVI.MU,,,,,
6759,KD8.BE,,,,,
6829,HESF.EX,,,,,
6863,IDE-UN.TO,,,,,
6868,GRND3F.SA,,,,,
6919,FSD-UN.TO,,,,,
6943,FDS-UN.TO,,,,,
6948,FDD.MU,,,,,
6981,EE-DB.TO,,,,,
7716,BTU.MX,,,,,
7848,PLT-UN.TO,,,,,
8137,EBT-UN.TO,,,,,
8153,BES.LS,,,,,
8278,YG11.SG,,,,,
8286,XOMF.EX,,,,,
8323,VVDG.EX,,,,,
8339,TUR.NZ,,,,,
9333,STOCD.AX,,,,,
9344,XGRA9.BA,,,,,
9346,VNF.L,,,,,
9372,VSAF.EX,,,,,
9377,U01.SI,,,,,
9404,UFGG.EX,,,,,
10149,RVG.L,,,,,
10177,VO8.AS,,,,,
10697,PACEW,,,,,
10751,HRMNW,,,,,
10808,WLRHW,,,,,
11005,NHYG.EX,,,,,
11142,GRSHW,,,,,
11350,TELIO.OL,,,,,
11363,SW7.MU,,,,,
11389,SONG.EX,,,,,
11413,SHOK.L,,,,,
11471,RY4B.DU,,,,,
11472,RY4B.BE,,,,,
11473,RY4A.SG,,,,,
11505,RJC.BE,,,,,
12235,WPPF.EX,,,,,
12242,TRAP.L,,,,,
12270,SYQ.L,,,,,
12282,SCF.DE,,,,,
12290,SET1.L,,,,,
12480,JMT1.MU,,,,,
12665,AD3.MU,,,,,
12674,8351-OL.HK,,,,,
12684,718294.TWO,,,,,
12732,0758-OL.HK,,,,,
12744,R2:LFFE4S.SA,,,,,
12823,722206.TWO,,,,,
12835,INN16-C.SI,,,,,
12875,JPM396.SG,,,,,
12876,R2:APTI3S.SA,,,,,
12890,JBDU3F.SA,,,,,
12919,R2:MEND6S.SA,,,,,
12921,124251.L,,,,,
